[20240107] 24レース
  202[20240107] +7R (累計31R)
[20240108] +24R (累計55R)
curl: (7) Failed to connect to 127.0.0.1 port 36917 after 0 ms: Couldn't connect to server
11R 14頭 OK (4件目)
  202406010711 中山11R 12頭 OK (136件目)
  202406010712 中山12R 12頭 OK (137件目)
  202408010701 京都1R 10頭 OK (138件目)
  202408010702 京都2R 16頭 OK (139件目)
  202408010703 京都3R 12頭 OK (140件目)
  202408010704 京都4R 8頭 OK (141件目)
  202408010705 京都5R 17頭 OK (142件目)
  202408010706 京都6R 6頭 OK (143件目)
  202408010707 京都7R 17頭 OK (144件目)
  202408010708 京都8R 16頭 OK (145件目)
  202408010709 京都9R 10頭 OK (146件目)
  202408010710 京都10R 16頭 OK (147件目)
  202408010711 京都11R 16頭 OK (148件目)
  202408010712 京都12R 11頭 OK (149件目)
  202410010401 小倉1R 16頭 OK (150件目)
  202410010402 小倉2R 14頭 OK (151件目)
  202410010403 小倉3R 14頭 OK (152件目)
  202410010404 小倉4R 12頭 OK (153件目)
  202410010405 小倉5R 18頭 OK (154件目)
  202410010406 小倉6R 11頭 OK (155件目)
  202410010407 小倉7R 18頭 OK (156件目)
  202410010408 小倉8R 16頭 OK (157件目)
  202410010409 小倉9R 15頭 OK (158件目)
  202410010410 小倉10R 12頭 OK (159件目)
  202410010411 小倉11R 16頭 OK (160件目)
  202410010412 小倉12R 15頭 OK (161件目)
[20240127] 36レース
  202405010101 東京1R 16頭 OK (162件目)
  202405010102 東京2R 15頭 OK (163件目)
  202405010103 東京3R 14頭 OK (164件目)
  202405010104 東京4R 14頭 OK (165件目)
  202405010105 東京5R 16頭 OK (166件目)
  202405010106 東京6R 12頭 OK (167件目)
  202405010107 東京7R 16頭 OK (168件目)
  202405010108 東京8R 16頭 OK (169件目)
  202405010109 東京9R 16頭 OK (170件目)
  202405010110 東京10R 10頭 OK (171件目)
  202405010111 東京11R 12頭 OK (172件目)
  202405010112 東京12R 16頭 OK (173件目)
  202408020101 京都1R 9頭 OK (174件目)
  202408020102 京都2R 9頭 OK (175件目)
  202408020103 京都3R 15頭 OK (176件目)
  202408020104 京都4R 16頭 OK (177件目)
  202408020105 京都5R 9頭 OK (178件目)
  202408020106 京都6R 7頭 OK (179件目)
  202408020107 京都7R 9頭 OK (180件目)
  202408020108 京都8R 7頭 OK (181件目)
  202408020109 京都9R 16頭 OK (182件目)
  202408020110 京都10R 9頭 OK (183件目)
  202408020111 京都11R 14頭 OK (184件目)
  202408020112 京都12R 18頭 OK (185件目)
  202410010501 小倉1R 12頭 OK (186件目)
  202410010502 小倉2R 14頭 OK (187件目)
