# 列: 馬番,馬名,騎手,追切日,コース,馬場,乗り役,タイム,位置,脚色,調教評価
$202604020701 新潟1R
2,ブルーリファール,石橋脩,08/12,美坂,重,助手,56.7/15.9/40.8/14.3/26.5/13.3/13.2/13.2,,馬也,D
3,マイネルシュラハト,柴田大,08/12,美W,重,柴田大,82.4/15.9/66.5/14.5/52.0/14.2/37.8/26.4/11.4/11.4,9,仕掛,C
4,サンタピア,田辺裕信,08/12,美W,重,助手,87.8/16.9/70.9/16.1/54.8/15.4/39.4/27.5/11.9/11.9,5,仕掛,C
5,エターナルホープ,吉田豊,08/12,美W,重,助手,85.1/18.2/66.9/14.9/52.0/14.0/38.0/25.9/12.1/12.1,2,一杯,C
6,クライナリーゼ,◇今村,08/12,栗坂,良,助手,56.6/16.0/40.6/14.0/26.6/13.8/12.8/12.8,,馬也,B
7,パワポケグッド,▲佐藤,08/14,,,,,,,C
8,オーシャンミューズ,杉原,08/12,美坂,重,助手,56.2/15.8/40.4/14.4/26.0/13.4/12.6/12.6,1,一杯,C
9,マーチンゲール,川田,08/12,CW,良,森田,86.0/16.0/70.0/15.8/54.2/16.0/38.2/26.7/11.5/11.5,9,一杯,B
10,ダノンオンザビート,三浦,08/12,美W,重,助手,51.0/14.6/36.4/25.1/11.3/11.3,5,馬也,B
11,ニシノロッドマン,野中,08/12,美坂,重,助手,54.4/14.6/39.8/13.4/26.4/13.4/13.0/13.0,1,強め,D
12,レジェルテ,戸崎圭,08/12,栗坂,良,助手,54.8/15.2/39.6/14.1/25.5/13.1/12.4/12.4,2,一杯,B
13,コールリッジ,津村,08/12,美W,重,助手,86.6/18.6/68.0/15.1/52.9/14.9/38.0/26.4/11.6/11.6,4,強め,C
14,ナツミカンチャン,▲上里,08/12,美坂,重,助手,56.4/15.0/41.4/14.6/26.8/14.1/12.7/12.7,2,強め,B
15,ジューンマーチ,川須,08/12,栗坂,良,助手,55.1/14.6/40.5/13.9/26.6/13.1/13.5/13.5,,一杯,C
$202604020711 新潟11R
1,ジーティーソレイユ,丸田,08/12,美W,重,助手,56.6/18.3/38.3/27.1/11.2/11.2,3,強め,C
2,コンフィアンサ,津村,08/12,美W,重,助手,87.2/18.4/68.8/15.4/53.4/14.5/38.9/26.9/12.0/12.0,7,馬也,C
3,ミヤカグラ,◇今村,08/12,美坂,重,助手,54.9/15.2/39.7/13.5/26.2/12.7/13.5/13.5,1,馬也,C
4,スーホ,石橋脩,08/12,美W,重,助手,85.1/17.4/67.7/14.7/53.0/14.3/38.7/26.5/12.2/12.2,8,馬也,B
5,アルティーノ,川須,08/12,美W,重,上里,86.5/17.5/69.0/14.9/54.1/15.5/38.6/26.7/11.9/11.9,3,馬也,C
6,リュウセイコウテイ,戸崎圭太,08/12,美P一番時計,良,助手,71.3/16.0/55.3/14.0/41.3/28.2/13.1/13.1,5,馬也,C
7,スタンダールロマン,松岡,08/12,美W,重,松岡,85.7/17.5/68.2/15.2/53.0/14.7/38.3/26.9/11.4/11.4,2,馬也,C
8,メーレスブリーゼ,武藤,08/12,美W,重,武藤,84.3/17.3/67.0/15.7/51.3/14.2/37.1/25.4/11.7/11.7,4,馬也,B
9,ダイユウヴェンティ,▲石田,08/12,美坂,重,助手,55.1/15.5/39.6/13.9/25.7/13.2/12.5/12.5,,仕掛,B
10,ソレム,△石神道,08/12,美W,重,師,85.1/16.5/68.6/15.3/53.3/14.6/38.7/26.9/11.8/11.8,7,馬也,B
11,シャルマンナナ,柴田大知,08/12,美坂,重,助手,54.8/14.8/40.0/13.6/26.4/13.3/13.1/13.1,2,馬也,B
12,リナシタ,石川,08/12,美坂,重,助手,55.9/15.0/40.9/14.2/26.7/13.3/13.4/13.4,1,馬也,C
13,エレクトロン,江田照,08/12,美坂,重,助手,55.1/14.3/40.8/13.9/26.9/13.7/13.2/13.2,2,一杯,D
14,ユアベストダンサー,▲上里,08/12,美坂,重,上里,54.5/14.0/40.5/13.9/26.6/13.3/13.3/13.3,,強め,B
15,メインテーマ,▲佐藤,08/12,美坂,重,佐藤,55.7/14.3/41.4/13.9/27.5/13.8/13.7/13.7,2,馬也,C
16,ルディドゥゲンジ,杉原,08/13,美坂一番時計,稍,助手,55.6/14.4/41.2/15.1/26.1/13.6/12.5/12.5,,強め,B
17,カゼノオモイデ,丸山,08/12,美W,重,助手,84.2/17.1/67.1/15.4/51.7/14.3/37.4/25.4/12.0/12.0,3,馬也,C
18,ラウンドヒル,三浦,08/12,美W,重,助手,85.7/17.6/68.1/15.4/52.7/14.8/37.9/26.6/11.3/11.3,8,馬也,B
$202604020712 新潟12R
1,ソニックブーム,戸崎圭,08/12,栗坂,良,助手,54.9/15.6/39.3/13.8/25.5/12.7/12.8/12.8,,馬也,B
3,イノーマル,三浦,08/12,美芝一番時計,不,三浦,64.1/15.6/48.5/13.0/35.5/24.0/11.5/11.5,1,馬也,B
4,カドドゥディエ,▲上里,08/12,美W,重,助手,87.4/18.1/69.3/15.3/54.0/14.8/39.2/27.3/11.9/11.9,2,馬也,B
5,ラグアイリータ,津村,08/12,美W,重,助手,85.2/17.4/67.8/15.0/52.8/14.3/38.5/26.4/12.1/12.1,6,強め,C
6,ナムラオリガミ,小崎,08/12,栗坂,良,助手,55.7/15.6/40.1/14.1/26.0/13.0/13.0/13.0,,馬也,C
7,モーブプリエール,杉原誠人,08/12,美W,重,助手,88.3/20.1/68.2/16.1/52.1/14.6/37.5/25.7/11.8/11.8,7,馬也,C
8,キコリータ,▲石田,08/12,美坂,重,助手,57.0/15.5/41.5/14.7/26.8/13.8/13.0/13.0,1,馬也,C
9,セレスティアハート,野中,08/12,美W,重,助手,87.6/17.9/69.7/15.4/54.3/15.2/39.1/27.6/11.5/11.5,4,馬也,C
10,アドマイヤフク,松岡正海,08/12,美W,重,助手,86.1/16.9/69.2/15.1/54.1/14.8/39.3/26.9/12.4/12.4,8,馬也,C
11,スノーエルヴァ,◇今村,08/12,美W,重,助手,86.9/17.7/69.2/15.1/54.1/15.2/38.9/26.6/12.3/12.3,7,馬也,C
12,コスモペンタス,柴田大,08/12,美W,重,助手,88.7/18.5/70.2/15.6/54.6/15.0/39.6/27.6/12.0/12.0,4,馬也,C
13,セキテイリノ,江田照,08/12,美坂,重,師,53.5/12.9/40.6/13.6/27.0/13.0/14.0/14.0,,仕掛,B
14,キリスパークル,石橋脩,08/13,美W,重,助手,92.0/18.0/74.0/15.1/58.9/15.9/43.0/29.3/13.7/13.7,8,馬也,C
15,アマンヘセル,田辺,08/12,美W,重,大江圭,88.9/17.8/71.1/16.2/54.9/15.2/39.7/27.8/11.9/11.9,4,馬也,B
16,モストロ,▲佐藤,08/12,美W,重,助手,82.9/17.5/65.4/15.3/50.1/13.6/36.5/24.2/12.3/12.3,1,一杯,D
17,エラガバリウム,丸山,08/12,美坂,重,助手,56.1/14.9/41.2/14.6/26.6/13.9/12.7/12.7,1,仕掛,B
