| 分割 | 券種 | 確率 | 較正 | オッズ | ルール | n | 的中 | ROI% | ROI(下限精算)% | 平均EV | 実測的中率 | モデル平均確率 | 市場implied |
|---|---|---|---|---|---|---:|---:|---:|---:|---:|---:|---:|---:|
| MINE | 馬連 | blend | raw | floor | top20 | 81657 | 516 | 59.0 | 59.0 | 1.41 | 0.6320% | 0.012432 | 0.009535 |
| MINE | 馬連 | blend | iso | floor | ev1.2 | 43148 | 245 | 52.2 | 52.2 | 1.56 | 0.5680% | 0.012784 | 0.008522 |
| MINE | 馬連 | blend | iso | floor | top1 | 4972 | 40 | 45.9 | 45.9 | 1.74 | 0.8050% | 0.019241 | 0.012663 |
| MINE | 馬連 | blend | iso | floor | top3 | 14685 | 133 | 55.6 | 55.6 | 1.60 | 0.9060% | 0.018291 | 0.012960 |
| MINE | 馬連 | blend | iso | floor | top5 | 23852 | 196 | 53.3 | 53.3 | 1.52 | 0.8220% | 0.017473 | 0.012828 |
| MINE | 馬連 | blend | iso | floor | top10 | 43258 | 356 | 54.7 | 54.7 | 1.42 | 0.8230% | 0.016227 | 0.012458 |
| MINE | 馬連 | blend | iso | floor | top20 | 66105 | 554 | 61.8 | 61.8 | 1.36 | 0.8380% | 0.014841 | 0.011718 |
| VALIDATE | 複勝 | model | raw | floor | ev1.1 | 2554 | 112 | 46.2 | 37.7 | 1.74 | 4.3850% | 0.130667 | 0.085744 |
| VALIDATE | 複勝 | model | raw | floor | ev1.2 | 2152 | 86 | 46.7 | 38.9 | 1.85 | 3.9960% | 0.127176 | 0.077406 |
| VALIDATE | 複勝 | model | raw | floor | ev1.3 | 1815 | 64 | 46.5 | 39.3 | 1.96 | 3.5260% | 0.124680 | 0.070879 |
| VALIDATE | 複勝 | model | raw | floor | top1 | 842 | 27 | 30.9 | 21.4 | 2.17 | 3.2070% | 0.140323 | 0.079542 |
| VALIDATE | 複勝 | model | raw | floor | top3 | 2172 | 107 | 47.8 | 38.1 | 1.78 | 4.9260% | 0.139024 | 0.093001 |
| VALIDATE | 複勝 | model | raw | floor | top5 | 2867 | 156 | 52.1 | 42.1 | 1.65 | 5.4410% | 0.137536 | 0.097291 |
| VALIDATE | 複勝 | model | raw | floor | top10 | 3077 | 168 | 50.9 | 41.1 | 1.62 | 5.4600% | 0.137274 | 0.098764 |
| VALIDATE | 複勝 | model | raw | floor | top20 | 3077 | 168 | 50.9 | 41.1 | 1.62 | 5.4600% | 0.137274 | 0.098764 |
| VALIDATE | 複勝 | model | raw | exp | ev1.1 | 3863 | 258 | 53.2 | 42.9 | 1.85 | 6.6790% | 0.145849 | 0.117518 |
| VALIDATE | 複勝 | model | raw | exp | ev1.2 | 3305 | 185 | 51.7 | 41.4 | 1.97 | 5.5980% | 0.138821 | 0.103227 |
| VALIDATE | 複勝 | model | raw | exp | ev1.3 | 2849 | 134 | 49.1 | 39.9 | 2.09 | 4.7030% | 0.130741 | 0.089643 |
| VALIDATE | 複勝 | model | raw | exp | top1 | 873 | 31 | 33.9 | 23.6 | 2.66 | 3.5510% | 0.141469 | 0.084433 |
| VALIDATE | 複勝 | model | raw | exp | top3 | 2491 | 152 | 50.4 | 39.9 | 2.09 | 6.1020% | 0.149644 | 0.112600 |
| VALIDATE | 複勝 | model | raw | exp | top5 | 3746 | 286 | 58.0 | 46.4 | 1.85 | 7.6350% | 0.154143 | 0.128741 |
| VALIDATE | 複勝 | model | raw | exp | top10 | 4591 | 383 | 56.8 | 45.8 | 1.73 | 8.3420% | 0.157694 | 0.139645 |
| VALIDATE | 複勝 | model | raw | exp | top20 | 4599 | 383 | 56.7 | 45.7 | 1.73 | 8.3280% | 0.157638 | 0.139662 |
| VALIDATE | 複勝 | model | iso | floor | ev1.1 | 2362 | 111 | 43.7 | 34.9 | 1.76 | 4.6990% | 0.143308 | 0.093661 |
| VALIDATE | 複勝 | model | iso | floor | ev1.2 | 1976 | 85 | 45.8 | 36.0 | 1.88 | 4.3020% | 0.138907 | 0.083796 |
| VALIDATE | 複勝 | model | iso | floor | ev1.3 | 1678 | 62 | 40.0 | 32.3 | 2.00 | 3.6950% | 0.135241 | 0.075978 |
| VALIDATE | 複勝 | model | iso | floor | top1 | 841 | 28 | 33.9 | 23.3 | 2.18 | 3.3290% | 0.148372 | 0.084464 |
| VALIDATE | 複勝 | model | iso | floor | top3 | 2122 | 117 | 46.9 | 36.1 | 1.78 | 5.5140% | 0.150643 | 0.101322 |
| VALIDATE | 複勝 | model | iso | floor | top5 | 2711 | 161 | 48.6 | 38.2 | 1.67 | 5.9390% | 0.151017 | 0.107229 |
| VALIDATE | 複勝 | model | iso | floor | top10 | 2859 | 172 | 49.4 | 39.0 | 1.64 | 6.0160% | 0.150976 | 0.108596 |
| VALIDATE | 複勝 | model | iso | floor | top20 | 2859 | 172 | 49.4 | 39.0 | 1.64 | 6.0160% | 0.150976 | 0.108596 |
| VALIDATE | 複勝 | model | iso | exp | ev1.1 | 3589 | 254 | 51.1 | 40.6 | 1.87 | 7.0770% | 0.158275 | 0.126970 |
| VALIDATE | 複勝 | model | iso | exp | ev1.2 | 3061 | 193 | 51.7 | 40.5 | 2.00 | 6.3050% | 0.151106 | 0.111793 |
| VALIDATE | 複勝 | model | iso | exp | ev1.3 | 2633 | 142 | 49.1 | 38.9 | 2.12 | 5.3930% | 0.144557 | 0.099015 |
| VALIDATE | 複勝 | model | iso | exp | top1 | 870 | 32 | 35.1 | 23.6 | 2.68 | 3.6780% | 0.149852 | 0.088998 |
| VALIDATE | 複勝 | model | iso | exp | top3 | 2481 | 169 | 49.9 | 38.6 | 2.07 | 6.8120% | 0.162337 | 0.123693 |
| VALIDATE | 複勝 | model | iso | exp | top5 | 3635 | 299 | 58.4 | 47.0 | 1.84 | 8.2260% | 0.166738 | 0.140200 |
| VALIDATE | 複勝 | model | iso | exp | top10 | 4307 | 387 | 58.7 | 47.7 | 1.74 | 8.9850% | 0.171141 | 0.151537 |
| VALIDATE | 複勝 | model | iso | exp | top20 | 4308 | 387 | 58.7 | 47.7 | 1.74 | 8.9830% | 0.171121 | 0.151525 |
| VALIDATE | 複勝 | blend | raw | floor | top1 | 1 | 1 | 110.0 | 110.0 | 1.08 | 100.0000% | 0.984311 | 0.909091 |
| VALIDATE | 複勝 | blend | raw | floor | top3 | 2 | 2 | 110.0 | 110.0 | 1.08 | 100.0000% | 0.984302 | 0.909091 |
| VALIDATE | 複勝 | blend | raw | floor | top5 | 2 | 2 | 110.0 | 110.0 | 1.08 | 100.0000% | 0.984302 | 0.909091 |
| VALIDATE | 複勝 | blend | raw | floor | top10 | 2 | 2 | 110.0 | 110.0 | 1.08 | 100.0000% | 0.984302 | 0.909091 |
| VALIDATE | 複勝 | blend | raw | floor | top20 | 2 | 2 | 110.0 | 110.0 | 1.08 | 100.0000% | 0.984302 | 0.909091 |
| VALIDATE | 複勝 | blend | raw | exp | ev1.1 | 2 | 2 | 110.0 | 110.0 | 1.15 | 100.0000% | 0.984302 | 0.909091 |
| VALIDATE | 複勝 | blend | raw | exp | top1 | 6 | 3 | 63.3 | 58.3 | 1.04 | 50.0000% | 0.777704 | 0.838745 |
| VALIDATE | 複勝 | blend | raw | exp | top3 | 9 | 6 | 96.7 | 78.9 | 1.05 | 66.6670% | 0.791091 | 0.840548 |
| VALIDATE | 複勝 | blend | raw | exp | top5 | 9 | 6 | 96.7 | 78.9 | 1.05 | 66.6670% | 0.791091 | 0.840548 |
| VALIDATE | 複勝 | blend | raw | exp | top10 | 9 | 6 | 96.7 | 78.9 | 1.05 | 66.6670% | 0.791091 | 0.840548 |
| VALIDATE | 複勝 | blend | raw | exp | top20 | 9 | 6 | 96.7 | 78.9 | 1.05 | 66.6670% | 0.791091 | 0.840548 |
| VALIDATE | 複勝 | blend | iso | exp | ev1.1 | 5 | 2 | 54.0 | 48.0 | 1.11 | 40.0000% | 0.759657 | 0.796703 |
| VALIDATE | 複勝 | blend | iso | exp | top1 | 6 | 2 | 45.0 | 40.0 | 1.10 | 33.3330% | 0.758875 | 0.802808 |
| VALIDATE | 複勝 | blend | iso | exp | top3 | 8 | 3 | 53.8 | 47.5 | 1.09 | 37.5000% | 0.736974 | 0.787546 |
| VALIDATE | 複勝 | blend | iso | exp | top5 | 8 | 3 | 53.8 | 47.5 | 1.09 | 37.5000% | 0.736974 | 0.787546 |
| VALIDATE | 複勝 | blend | iso | exp | top10 | 8 | 3 | 53.8 | 47.5 | 1.09 | 37.5000% | 0.736974 | 0.787546 |
| VALIDATE | 複勝 | blend | iso | exp | top20 | 8 | 3 | 53.8 | 47.5 | 1.09 | 37.5000% | 0.736974 | 0.787546 |
| VALIDATE | ワイド | model | raw | floor | ev1.2 | 31797 | 284 | 42.4 | 41.6 | 2.32 | 0.8930% | 0.024198 | 0.013049 |
| VALIDATE | ワイド | model | raw | floor | top1 | 873 | 4 | 29.1 | 28.1 | 5.17 | 0.4580% | 0.032373 | 0.009422 |
| VALIDATE | ワイド | model | raw | floor | top3 | 2616 | 18 | 25.3 | 25.5 | 4.47 | 0.6880% | 0.033335 | 0.011715 |
| VALIDATE | ワイド | model | raw | floor | top5 | 4354 | 39 | 29.2 | 28.9 | 4.07 | 0.8960% | 0.032405 | 0.012429 |
| VALIDATE | ワイド | model | raw | floor | top10 | 8609 | 84 | 34.0 | 33.4 | 3.47 | 0.9760% | 0.031662 | 0.014054 |
| VALIDATE | ワイド | model | raw | floor | top20 | 16537 | 172 | 40.8 | 40.0 | 2.87 | 1.0400% | 0.029439 | 0.014923 |
| VALIDATE | ワイド | model | raw | exp | ev1.2 | 32668 | 317 | 43.7 | 42.7 | 2.33 | 0.9700% | 0.024983 | 0.013919 |
| VALIDATE | ワイド | model | raw | exp | top1 | 873 | 5 | 30.2 | 29.2 | 5.24 | 0.5730% | 0.032874 | 0.009599 |
| VALIDATE | ワイド | model | raw | exp | top3 | 2617 | 19 | 25.7 | 25.8 | 4.53 | 0.7260% | 0.034022 | 0.012142 |
| VALIDATE | ワイド | model | raw | exp | top5 | 4356 | 40 | 29.7 | 29.3 | 4.12 | 0.9180% | 0.033219 | 0.012940 |
| VALIDATE | ワイド | model | raw | exp | top10 | 8634 | 94 | 35.5 | 34.9 | 3.51 | 1.0890% | 0.032561 | 0.014830 |
| VALIDATE | ワイド | model | raw | exp | top20 | 16629 | 183 | 40.8 | 40.1 | 2.90 | 1.1000% | 0.030435 | 0.015870 |
| VALIDATE | ワイド | model | iso | floor | ev1.2 | 30068 | 283 | 45.7 | 44.8 | 2.34 | 0.9410% | 0.025533 | 0.013703 |
| VALIDATE | ワイド | model | iso | floor | top1 | 873 | 6 | 40.1 | 38.6 | 5.28 | 0.6870% | 0.033173 | 0.009606 |
| VALIDATE | ワイド | model | iso | floor | top3 | 2616 | 16 | 26.7 | 27.0 | 4.53 | 0.6120% | 0.033474 | 0.011459 |
| VALIDATE | ワイド | model | iso | floor | top5 | 4352 | 38 | 39.9 | 39.6 | 4.10 | 0.8730% | 0.032869 | 0.012344 |
| VALIDATE | ワイド | model | iso | floor | top10 | 8605 | 82 | 35.1 | 34.5 | 3.48 | 0.9530% | 0.032226 | 0.014080 |
| VALIDATE | ワイド | model | iso | floor | top20 | 16502 | 172 | 42.5 | 41.7 | 2.86 | 1.0420% | 0.030332 | 0.015309 |
| VALIDATE | ワイド | model | iso | exp | ev1.2 | 30943 | 313 | 46.7 | 45.7 | 2.34 | 1.0120% | 0.026335 | 0.014614 |
| VALIDATE | ワイド | model | iso | exp | top1 | 874 | 6 | 40.1 | 38.5 | 5.34 | 0.6860% | 0.033663 | 0.009879 |
| VALIDATE | ワイド | model | iso | exp | top3 | 2617 | 18 | 27.9 | 28.2 | 4.59 | 0.6880% | 0.034071 | 0.011833 |
| VALIDATE | ワイド | model | iso | exp | top5 | 4357 | 40 | 40.1 | 39.8 | 4.16 | 0.9180% | 0.033666 | 0.012908 |
| VALIDATE | ワイド | model | iso | exp | top10 | 8631 | 90 | 35.8 | 35.1 | 3.52 | 1.0430% | 0.033117 | 0.014869 |
| VALIDATE | ワイド | model | iso | exp | top20 | 16609 | 186 | 42.7 | 42.0 | 2.89 | 1.1200% | 0.031250 | 0.016207 |
| VALIDATE | ワイド | blend | raw | floor | ev1.2 | 2275 | 54 | 84.3 | 81.3 | 1.41 | 2.3740% | 0.044295 | 0.032279 |
| VALIDATE | ワイド | blend | raw | floor | top1 | 840 | 30 | 63.9 | 62.6 | 1.37 | 3.5710% | 0.066789 | 0.053488 |
| VALIDATE | ワイド | blend | raw | floor | top3 | 2335 | 94 | 76.5 | 73.8 | 1.29 | 4.0260% | 0.061931 | 0.051188 |
| VALIDATE | ワイド | blend | raw | floor | top5 | 3550 | 138 | 78.5 | 75.4 | 1.25 | 3.8870% | 0.059290 | 0.050165 |
| VALIDATE | ワイド | blend | raw | floor | top10 | 5318 | 184 | 76.2 | 73.3 | 1.21 | 3.4600% | 0.054289 | 0.046827 |
| VALIDATE | ワイド | blend | raw | floor | top20 | 6440 | 212 | 80.6 | 77.6 | 1.20 | 3.2920% | 0.050675 | 0.043996 |
| VALIDATE | ワイド | blend | raw | exp | ev1.2 | 2679 | 74 | 87.2 | 83.7 | 1.42 | 2.7620% | 0.048627 | 0.036811 |
| VALIDATE | ワイド | blend | raw | exp | top1 | 861 | 40 | 69.2 | 67.5 | 1.40 | 4.6460% | 0.075860 | 0.062409 |
| VALIDATE | ワイド | blend | raw | exp | top3 | 2484 | 117 | 79.1 | 76.1 | 1.31 | 4.7100% | 0.070253 | 0.060133 |
| VALIDATE | ワイド | blend | raw | exp | top5 | 3899 | 177 | 76.9 | 74.2 | 1.26 | 4.5400% | 0.067610 | 0.059441 |
| VALIDATE | ワイド | blend | raw | exp | top10 | 6202 | 254 | 76.8 | 73.8 | 1.22 | 4.0950% | 0.061352 | 0.055267 |
| VALIDATE | ワイド | blend | raw | exp | top20 | 7635 | 290 | 78.8 | 75.9 | 1.20 | 3.7980% | 0.056778 | 0.051510 |
| VALIDATE | ワイド | blend | iso | floor | ev1.2 | 2793 | 60 | 79.6 | 76.6 | 1.42 | 2.1480% | 0.034281 | 0.024956 |
| VALIDATE | ワイド | blend | iso | floor | top1 | 828 | 30 | 76.7 | 74.4 | 1.41 | 3.6230% | 0.050243 | 0.039600 |
| VALIDATE | ワイド | blend | iso | floor | top3 | 2332 | 77 | 77.3 | 73.9 | 1.32 | 3.3020% | 0.048199 | 0.039457 |
| VALIDATE | ワイド | blend | iso | floor | top5 | 3576 | 108 | 78.0 | 74.7 | 1.28 | 3.0200% | 0.046132 | 0.038526 |
| VALIDATE | ワイド | blend | iso | floor | top10 | 5641 | 161 | 78.5 | 75.5 | 1.23 | 2.8540% | 0.042649 | 0.036412 |
| VALIDATE | ワイド | blend | iso | floor | top20 | 7167 | 190 | 79.9 | 77.0 | 1.21 | 2.6510% | 0.039462 | 0.033983 |
| VALIDATE | ワイド | blend | iso | exp | ev1.2 | 3216 | 72 | 77.0 | 73.9 | 1.42 | 2.2390% | 0.037771 | 0.028483 |
| VALIDATE | ワイド | blend | iso | exp | top1 | 856 | 36 | 77.5 | 75.0 | 1.43 | 4.2060% | 0.058429 | 0.047544 |
| VALIDATE | ワイド | blend | iso | exp | top3 | 2454 | 94 | 78.5 | 75.0 | 1.34 | 3.8300% | 0.056244 | 0.047915 |
| VALIDATE | ワイド | blend | iso | exp | top5 | 3870 | 142 | 70.7 | 67.7 | 1.29 | 3.6690% | 0.054593 | 0.047676 |
| VALIDATE | ワイド | blend | iso | exp | top10 | 6346 | 215 | 76.5 | 73.5 | 1.24 | 3.3880% | 0.049434 | 0.044154 |
| VALIDATE | ワイド | blend | iso | exp | top20 | 8291 | 267 | 77.5 | 74.6 | 1.21 | 3.2200% | 0.045329 | 0.040885 |
| VALIDATE | 三連複 | model | raw | floor | ev1.2 | 170221 | 111 | 28.6 | 28.6 | 3.09 | 0.0650% | 0.002115 | 0.001012 |
| VALIDATE | 三連複 | model | raw | floor | top1 | 874 | 0 | 0.0 | 0.0 | 11.48 | 0.0000% | 0.005323 | 0.001417 |
| VALIDATE | 三連複 | model | raw | floor | top3 | 2620 | 2 | 8.0 | 8.0 | 10.13 | 0.0760% | 0.005230 | 0.001513 |
| VALIDATE | 三連複 | model | raw | floor | top5 | 4365 | 4 | 9.0 | 9.0 | 9.34 | 0.0920% | 0.005022 | 0.001549 |
| VALIDATE | 三連複 | model | raw | floor | top10 | 8710 | 8 | 41.9 | 41.9 | 8.14 | 0.0920% | 0.004623 | 0.001547 |
| VALIDATE | 三連複 | model | raw | floor | top20 | 17276 | 20 | 32.2 | 32.3 | 6.90 | 0.1160% | 0.004159 | 0.001564 |
| VALIDATE | 三連複 | model | iso | floor | ev1.2 | 160089 | 103 | 27.4 | 27.5 | 3.14 | 0.0640% | 0.002182 | 0.001035 |
| VALIDATE | 三連複 | model | iso | floor | top1 | 873 | 0 | 0.0 | 0.0 | 11.73 | 0.0000% | 0.004403 | 0.000963 |
| VALIDATE | 三連複 | model | iso | floor | top3 | 2619 | 4 | 13.9 | 13.9 | 10.31 | 0.1530% | 0.004408 | 0.001113 |
| VALIDATE | 三連複 | model | iso | floor | top5 | 4362 | 6 | 42.9 | 42.9 | 9.48 | 0.1380% | 0.004311 | 0.001195 |
| VALIDATE | 三連複 | model | iso | floor | top10 | 8698 | 8 | 44.0 | 44.0 | 8.24 | 0.0920% | 0.004065 | 0.001243 |
| VALIDATE | 三連複 | model | iso | floor | top20 | 17251 | 18 | 32.1 | 32.2 | 6.96 | 0.1040% | 0.003763 | 0.001306 |
| VALIDATE | 三連複 | blend | raw | floor | ev1.2 | 25550 | 47 | 71.5 | 71.5 | 1.63 | 0.1840% | 0.004356 | 0.002885 |
| VALIDATE | 三連複 | blend | raw | floor | top1 | 872 | 6 | 76.2 | 76.2 | 2.00 | 0.6880% | 0.013118 | 0.008740 |
| VALIDATE | 三連複 | blend | raw | floor | top3 | 2597 | 14 | 70.1 | 70.1 | 1.87 | 0.5390% | 0.011642 | 0.008034 |
| VALIDATE | 三連複 | blend | raw | floor | top5 | 4297 | 20 | 80.4 | 80.4 | 1.79 | 0.4650% | 0.010668 | 0.007459 |
| VALIDATE | 三連複 | blend | raw | floor | top10 | 8394 | 36 | 60.3 | 60.3 | 1.67 | 0.4290% | 0.009247 | 0.006673 |
| VALIDATE | 三連複 | blend | raw | floor | top20 | 15746 | 54 | 74.9 | 74.9 | 1.56 | 0.3430% | 0.007723 | 0.005802 |
| VALIDATE | 三連複 | blend | iso | floor | ev1.2 | 34178 | 45 | 56.3 | 56.3 | 1.64 | 0.1320% | 0.003003 | 0.001984 |
| VALIDATE | 三連複 | blend | iso | floor | top1 | 862 | 2 | 12.8 | 12.8 | 2.18 | 0.2320% | 0.006627 | 0.004011 |
| VALIDATE | 三連複 | blend | iso | floor | top3 | 2577 | 4 | 13.6 | 13.6 | 2.01 | 0.1550% | 0.006750 | 0.004373 |
| VALIDATE | 三連複 | blend | iso | floor | top5 | 4262 | 6 | 9.1 | 9.1 | 1.92 | 0.1410% | 0.006624 | 0.004429 |
| VALIDATE | 三連複 | blend | iso | floor | top10 | 8346 | 26 | 47.8 | 47.8 | 1.79 | 0.3120% | 0.006228 | 0.004373 |
| VALIDATE | 三連複 | blend | iso | floor | top20 | 15902 | 45 | 55.5 | 55.5 | 1.65 | 0.2830% | 0.005476 | 0.004013 |
| VALIDATE | 馬連 | model | raw | floor | ev1.2 | 43157 | 125 | 43.9 | 44.8 | 2.82 | 0.2900% | 0.007857 | 0.003832 |
| VALIDATE | 馬連 | model | raw | floor | top1 | 874 | 5 | 133.5 | 133.5 | 7.68 | 0.5720% | 0.010812 | 0.002295 |
| VALIDATE | 馬連 | model | raw | floor | top3 | 2622 | 9 | 64.1 | 64.1 | 6.57 | 0.3430% | 0.010865 | 0.002733 |
| VALIDATE | 馬連 | model | raw | floor | top5 | 4369 | 10 | 39.4 | 39.4 | 5.92 | 0.2290% | 0.010444 | 0.002913 |
| VALIDATE | 馬連 | model | raw | floor | top10 | 8702 | 29 | 51.4 | 51.4 | 4.99 | 0.3330% | 0.010194 | 0.003489 |
| VALIDATE | 馬連 | model | raw | floor | top20 | 17034 | 49 | 43.6 | 45.8 | 4.04 | 0.2880% | 0.009580 | 0.003865 |
| VALIDATE | 馬連 | model | iso | floor | ev1.2 | 35564 | 121 | 49.9 | 51.0 | 2.69 | 0.3400% | 0.009211 | 0.004595 |
| VALIDATE | 馬連 | model | iso | floor | top1 | 874 | 5 | 82.9 | 82.9 | 7.14 | 0.5720% | 0.012521 | 0.002774 |
| VALIDATE | 馬連 | model | iso | floor | top3 | 2622 | 9 | 64.1 | 64.1 | 6.05 | 0.3430% | 0.012287 | 0.003205 |
| VALIDATE | 馬連 | model | iso | floor | top5 | 4369 | 13 | 47.1 | 47.1 | 5.42 | 0.2980% | 0.012260 | 0.003636 |
| VALIDATE | 馬連 | model | iso | floor | top10 | 8701 | 36 | 60.3 | 60.3 | 4.50 | 0.4140% | 0.011912 | 0.004298 |
| VALIDATE | 馬連 | model | iso | floor | top20 | 16976 | 67 | 53.4 | 55.6 | 3.60 | 0.3950% | 0.011174 | 0.004836 |
| VALIDATE | 馬連 | blend | raw | floor | ev1.2 | 11228 | 58 | 72.5 | 74.0 | 1.60 | 0.5170% | 0.011029 | 0.007275 |
| VALIDATE | 馬連 | blend | raw | floor | top1 | 871 | 5 | 121.1 | 121.1 | 1.89 | 0.5740% | 0.018314 | 0.012271 |
| VALIDATE | 馬連 | blend | raw | floor | top3 | 2593 | 16 | 83.7 | 83.7 | 1.73 | 0.6170% | 0.015453 | 0.010476 |
| VALIDATE | 馬連 | blend | raw | floor | top5 | 4287 | 28 | 71.6 | 75.3 | 1.65 | 0.6530% | 0.014584 | 0.010142 |
| VALIDATE | 馬連 | blend | raw | floor | top10 | 8250 | 58 | 63.6 | 65.6 | 1.52 | 0.7030% | 0.013873 | 0.010168 |
| VALIDATE | 馬連 | blend | raw | floor | top20 | 14155 | 86 | 49.8 | 50.9 | 1.42 | 0.6080% | 0.012890 | 0.009881 |
| VALIDATE | 馬連 | blend | iso | floor | ev1.2 | 7577 | 56 | 90.7 | 90.7 | 1.59 | 0.7390% | 0.013523 | 0.008964 |
| VALIDATE | 馬連 | blend | iso | floor | top1 | 869 | 5 | 49.8 | 49.8 | 1.75 | 0.5750% | 0.020198 | 0.013158 |
| VALIDATE | 馬連 | blend | iso | floor | top3 | 2571 | 23 | 85.4 | 85.4 | 1.60 | 0.8950% | 0.019442 | 0.013832 |
| VALIDATE | 馬連 | blend | iso | floor | top5 | 4168 | 44 | 79.0 | 79.0 | 1.53 | 1.0560% | 0.018882 | 0.013893 |
| VALIDATE | 馬連 | blend | iso | floor | top10 | 7466 | 79 | 73.5 | 73.5 | 1.44 | 1.0580% | 0.017330 | 0.013298 |
| VALIDATE | 馬連 | blend | iso | floor | top20 | 11307 | 101 | 74.8 | 74.8 | 1.38 | 0.8930% | 0.015785 | 0.012412 |
| CONFIRM | 複勝 | model | raw | floor | ev1.1 | 1485 | 85 | 61.7 | 47.3 | 1.64 | 5.7240% | 0.150106 | 0.102687 |
| CONFIRM | 複勝 | model | raw | floor | ev1.2 | 1185 | 56 | 60.0 | 44.8 | 1.76 | 4.7260% | 0.143071 | 0.089347 |
| CONFIRM | 複勝 | model | raw | floor | ev1.3 | 972 | 40 | 55.7 | 40.7 | 1.87 | 4.1150% | 0.140561 | 0.081757 |
| CONFIRM | 複勝 | model | raw | floor | top1 | 625 | 29 | 54.2 | 41.8 | 1.88 | 4.6400% | 0.162151 | 0.102660 |
| CONFIRM | 複勝 | model | raw | floor | top3 | 1497 | 97 | 58.9 | 47.5 | 1.60 | 6.4800% | 0.161073 | 0.116384 |
| CONFIRM | 複勝 | model | raw | floor | top5 | 1801 | 130 | 65.1 | 50.9 | 1.53 | 7.2180% | 0.158745 | 0.118345 |
| CONFIRM | 複勝 | model | raw | floor | top10 | 1873 | 139 | 67.1 | 52.9 | 1.51 | 7.4210% | 0.158397 | 0.119020 |
| CONFIRM | 複勝 | model | raw | floor | top20 | 1873 | 139 | 67.1 | 52.9 | 1.51 | 7.4210% | 0.158397 | 0.119020 |
| CONFIRM | 複勝 | model | raw | exp | ev1.1 | 2433 | 213 | 71.0 | 57.3 | 1.73 | 8.7550% | 0.166816 | 0.139212 |
| CONFIRM | 複勝 | model | raw | exp | ev1.2 | 2023 | 149 | 66.0 | 52.3 | 1.84 | 7.3650% | 0.157115 | 0.120912 |
| CONFIRM | 複勝 | model | raw | exp | ev1.3 | 1692 | 109 | 66.8 | 51.9 | 1.96 | 6.4420% | 0.151720 | 0.108798 |
| CONFIRM | 複勝 | model | raw | exp | top1 | 670 | 39 | 55.6 | 43.4 | 2.27 | 5.8210% | 0.166245 | 0.112771 |
| CONFIRM | 複勝 | model | raw | exp | top3 | 1845 | 168 | 63.6 | 51.9 | 1.83 | 9.1060% | 0.176886 | 0.145531 |
| CONFIRM | 複勝 | model | raw | exp | top5 | 2616 | 269 | 69.3 | 55.6 | 1.67 | 10.2830% | 0.182481 | 0.162484 |
| CONFIRM | 複勝 | model | raw | exp | top10 | 3011 | 338 | 70.4 | 57.2 | 1.60 | 11.2260% | 0.186026 | 0.171603 |
| CONFIRM | 複勝 | model | raw | exp | top20 | 3011 | 338 | 70.4 | 57.2 | 1.60 | 11.2260% | 0.186026 | 0.171603 |
| CONFIRM | 複勝 | model | iso | floor | ev1.1 | 1386 | 81 | 63.0 | 48.0 | 1.66 | 5.8440% | 0.160449 | 0.108782 |
| CONFIRM | 複勝 | model | iso | floor | ev1.2 | 1114 | 55 | 60.4 | 44.7 | 1.78 | 4.9370% | 0.155823 | 0.097134 |
| CONFIRM | 複勝 | model | iso | floor | ev1.3 | 923 | 42 | 63.0 | 45.9 | 1.89 | 4.5500% | 0.152437 | 0.088508 |
| CONFIRM | 複勝 | model | iso | floor | top1 | 625 | 31 | 52.1 | 40.3 | 1.88 | 4.9600% | 0.170953 | 0.109576 |
| CONFIRM | 複勝 | model | iso | floor | top3 | 1457 | 101 | 60.8 | 48.7 | 1.60 | 6.9320% | 0.170702 | 0.123265 |
| CONFIRM | 複勝 | model | iso | floor | top5 | 1727 | 133 | 63.2 | 49.2 | 1.54 | 7.7010% | 0.172886 | 0.129576 |
| CONFIRM | 複勝 | model | iso | floor | top10 | 1775 | 140 | 65.0 | 51.0 | 1.52 | 7.8870% | 0.172417 | 0.129956 |
| CONFIRM | 複勝 | model | iso | floor | top20 | 1775 | 140 | 65.0 | 51.0 | 1.52 | 7.8870% | 0.172417 | 0.129956 |
| CONFIRM | 複勝 | model | iso | exp | ev1.1 | 2312 | 208 | 65.0 | 52.2 | 1.74 | 8.9970% | 0.178791 | 0.149099 |
| CONFIRM | 複勝 | model | iso | exp | ev1.2 | 1911 | 151 | 65.8 | 52.0 | 1.86 | 7.9020% | 0.169208 | 0.130123 |
| CONFIRM | 複勝 | model | iso | exp | ev1.3 | 1602 | 111 | 66.7 | 51.8 | 1.98 | 6.9290% | 0.162733 | 0.116474 |
| CONFIRM | 複勝 | model | iso | exp | top1 | 672 | 42 | 54.8 | 43.1 | 2.27 | 6.2500% | 0.176238 | 0.120963 |
| CONFIRM | 複勝 | model | iso | exp | top3 | 1853 | 173 | 62.6 | 50.7 | 1.82 | 9.3360% | 0.188127 | 0.156647 |
| CONFIRM | 複勝 | model | iso | exp | top5 | 2573 | 285 | 67.4 | 53.8 | 1.66 | 11.0770% | 0.195137 | 0.175090 |
| CONFIRM | 複勝 | model | iso | exp | top10 | 2888 | 344 | 67.6 | 54.8 | 1.60 | 11.9110% | 0.198941 | 0.183977 |
