| 分割 | 券種 | 確率 | 較正 | オッズ | ルール | n | 的中 | ROI% | ROI(下限精算)% | 平均EV | 実測的中率 | モデル平均確率 | 市場implied |
|---|---|---|---|---|---|---:|---:|---:|---:|---:|---:|---:|---:|
| MINE | 複勝 | blend | raw | exp | top1 | 46 | 36 | 87.6 | 85.9 | 1.04 | 78.2610% | 0.850052 | 0.897146 |
| MINE | 複勝 | blend | raw | exp | top3 | 57 | 45 | 88.2 | 86.3 | 1.04 | 78.9470% | 0.862140 | 0.902907 |
| MINE | 複勝 | blend | raw | exp | top5 | 57 | 45 | 88.2 | 86.3 | 1.04 | 78.9470% | 0.862140 | 0.902907 |
| MINE | 複勝 | blend | raw | exp | top10 | 57 | 45 | 88.2 | 86.3 | 1.04 | 78.9470% | 0.862140 | 0.902907 |
| MINE | 複勝 | blend | raw | exp | top20 | 57 | 45 | 88.2 | 86.3 | 1.04 | 78.9470% | 0.862140 | 0.902907 |
| MINE | 複勝 | blend | iso | floor | top1 | 1 | 1 | 130.0 | 130.0 | 1.02 | 100.0000% | 0.782066 | 0.769231 |
| MINE | 複勝 | blend | iso | floor | top3 | 1 | 1 | 130.0 | 130.0 | 1.02 | 100.0000% | 0.782066 | 0.769231 |
| MINE | 複勝 | blend | iso | floor | top5 | 1 | 1 | 130.0 | 130.0 | 1.02 | 100.0000% | 0.782066 | 0.769231 |
| MINE | 複勝 | blend | iso | floor | top10 | 1 | 1 | 130.0 | 130.0 | 1.02 | 100.0000% | 0.782066 | 0.769231 |
| MINE | 複勝 | blend | iso | floor | top20 | 1 | 1 | 130.0 | 130.0 | 1.02 | 100.0000% | 0.782066 | 0.769231 |
| MINE | 複勝 | blend | iso | exp | ev1.1 | 34 | 20 | 76.5 | 72.9 | 1.12 | 58.8240% | 0.768712 | 0.798050 |
| MINE | 複勝 | blend | iso | exp | top1 | 92 | 56 | 82.0 | 77.5 | 1.07 | 60.8700% | 0.722480 | 0.786970 |
| MINE | 複勝 | blend | iso | exp | top3 | 103 | 62 | 81.4 | 77.0 | 1.07 | 60.1940% | 0.716548 | 0.780962 |
| MINE | 複勝 | blend | iso | exp | top5 | 103 | 62 | 81.4 | 77.0 | 1.07 | 60.1940% | 0.716548 | 0.780962 |
| MINE | 複勝 | blend | iso | exp | top10 | 103 | 62 | 81.4 | 77.0 | 1.07 | 60.1940% | 0.716548 | 0.780962 |
| MINE | 複勝 | blend | iso | exp | top20 | 103 | 62 | 81.4 | 77.0 | 1.07 | 60.1940% | 0.716548 | 0.780962 |
| MINE | ワイド | model | raw | floor | ev1.2 | 172426 | 1486 | 52.5 | 51.6 | 2.33 | 0.8620% | 0.026642 | 0.014360 |
| MINE | ワイド | model | raw | floor | top1 | 5010 | 49 | 86.0 | 84.2 | 5.16 | 0.9780% | 0.037770 | 0.011796 |
| MINE | ワイド | model | raw | floor | top3 | 14998 | 140 | 67.0 | 65.5 | 4.44 | 0.9330% | 0.037705 | 0.013532 |
| MINE | ワイド | model | raw | floor | top5 | 24911 | 228 | 55.9 | 54.8 | 4.03 | 0.9150% | 0.037079 | 0.014563 |
| MINE | ワイド | model | raw | floor | top10 | 49046 | 462 | 51.8 | 50.7 | 3.43 | 0.9420% | 0.035324 | 0.015811 |
| MINE | ワイド | model | raw | floor | top20 | 93547 | 922 | 53.6 | 52.4 | 2.84 | 0.9860% | 0.032769 | 0.016801 |
